match_id,stage,round,group,home_placeholder,away_placeholder,home_team,away_team,stadium,city,country,local_datetime,local_timezone,is_favorite,notes
1,Group Stage,Group A,A,Mexico,South Africa,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11T12:00:00,America/Mexico_City,false,Group A
2,Group Stage,Group A,A,South Korea,Czech Republic,South Korea,Czech Republic,Estadio Akron,Zapopan,Mexico,2026-06-11T19:00:00,America/Mexico_City,false,Group A
3,Group Stage,Group B,B,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,2026-06-12T14:00:00,America/Toronto,false,Group B
4,Group Stage,Group D,D,United States,Paraguay,United States,Paraguay,SoFi Stadium,Inglewood,USA,2026-06-12T17:00:00,America/Los_Angeles,false,Group D
5,Group Stage,Group C,C,Haiti,Scotland,Haiti,Scotland,Gillette Stadium,Foxborough,USA,2026-06-13T20:00:00,America/New_York,false,Group C
6,Group Stage,Group D,D,Australia,Turkey,Australia,Turkey,BC Place,Vancouver,Canada,2026-06-13T20:00:00,America/Vancouver,false,Group D
7,Group Stage,Group C,C,Brazil,Morocco,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,2026-06-13T17:00:00,America/New_York,false,Group C
8,Group Stage,Group B,B,Qatar,Switzerland,Qatar,Switzerland,Levi's Stadium,Santa Clara,USA,2026-06-13T11:00:00,America/Los_Angeles,false,Group B
9,Group Stage,Group E,E,Ivory Coast,Ecuador,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,2026-06-14T18:00:00,America/New_York,false,Group E
10,Group Stage,Group E,E,Germany,Curaçao,Germany,Curaçao,NRG Stadium,Houston,USA,2026-06-14T11:00:00,America/Chicago,false,Group E
11,Group Stage,Group F,F,Netherlands,Japan,Netherlands,Japan,AT&T Stadium,Arlington,USA,2026-06-14T14:00:00,America/Chicago,false,Group F
12,Group Stage,Group F,F,Sweden,Tunisia,Sweden,Tunisia,Estadio BBVA,Guadalupe,Mexico,2026-06-14T19:00:00,America/Monterrey,false,Group F
13,Group Stage,Group H,H,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,USA,2026-06-15T17:00:00,America/New_York,false,Group H
14,Group Stage,Group H,H,Spain,Cape Verde,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,USA,2026-06-15T11:00:00,America/New_York,false,Group H
15,Group Stage,Group G,G,Iran,New Zealand,Iran,New Zealand,SoFi Stadium,Inglewood,USA,2026-06-15T17:00:00,America/Los_Angeles,false,Group G
16,Group Stage,Group G,G,Belgium,Egypt,Belgium,Egypt,Lumen Field,Seattle,USA,2026-06-15T11:00:00,America/Los_Angeles,false,Group G
17,Group Stage,Group I,I,France,Senegal,France,Senegal,MetLife Stadium,East Rutherford,USA,2026-06-16T14:00:00,America/New_York,false,Group I
18,Group Stage,Group I,I,Iraq,Norway,Iraq,Norway,Gillette Stadium,Foxborough,USA,2026-06-16T17:00:00,America/New_York,false,Group I
